Code	Name	Estimated Population mid-2015	Births	Deaths	Births minus Deaths	Internal Migration Inflow	Internal Migration Outflow	Internal Migration Net	International Migration Inflow	International Migration Outflow	International Migration Net	Other	Estimated Population mid-2016
S12000028	South Ayrshire	"112,400"	"1,012"	"1,474"	-462	"3,530"	"3,022"	508	256	218	38	-14	"112,470"
S12000029	South Lanarkshire	"316,230"	"3,208"	"3,465"	-257	"8,525"	"7,561"	964	640	507	133	30	"317,100"
S12000030	Stirling	"92,830"	830	915	-85	"4,727"	"4,156"	571	818	377	441	-7	"93,750"
S12000039	West Dunbartonshire	"89,590"	969	"1,005"	-36	"2,362"	"2,160"	202	194	108	86	18	"89,860"
S12000040	West Lothian	"178,550"	"1,962"	"1,503"	459	"5,005"	"4,252"	753	657	283	374	-6	"180,130"
N92000002	NORTHERN IRELAND	"1,851,621"	"24,379"	"15,341"	"9,038"	"10,806"	"10,806"	0	"12,998"	"11,540"	"1,458"	20	"1,862,137"
N09000001	Antrim and Newtownabbey	"140,467"	"1,802"	"1,213"	589	"4,653"	"4,615"	38	652	726	-74	12	"141,032"
N09000011	Ards and North Down	"158,797"	"1,754"	"1,540"	214	"4,277"	"3,647"	630	501	455	46	-94	"159,593"
N09000002	"Armagh City, Banbridge and Craigavon"	"207,797"	"3,005"	"1,533"	"1,472"	"4,908"	"4,697"	211	"1,856"	907	949	-169	"210,260"
N09000003	Belfast	"338,907"	"4,563"	"3,086"	"1,477"	"15,519"	"16,502"	-983	"4,253"	"4,833"	-580	758	"339,579"
N09000004	Causeway Coast and Glens	"143,148"	"1,672"	"1,143"	529	"4,661"	"4,679"	-18	650	907	-257	123	"143,525"
N09000005	Derry City and Strabane	"149,473"	"2,071"	"1,137"	934	"3,338"	"3,842"	-504	618	693	-75	314	"150,142"
N09000006	Fermanagh and Omagh	"115,311"	"1,518"	957	561	"2,758"	"2,801"	-43	688	564	124	-154	"115,799"
N09000007	Lisburn and Castlereagh	"140,205"	"1,719"	"1,116"	603	"5,913"	"5,172"	741	454	687	-233	-135	"141,181"
N09000008	Mid and East Antrim	"137,145"	"1,538"	"1,280"	258	"3,559"	"3,515"	44	948	396	552	-178	"137,821"
N09000009	Mid Ulster	"144,002"	"2,172"	"1,001"	"1,171"	"3,411"	"3,485"	-74	"1,200"	592	608	-318	"145,389"
N09000010	"Newry, Mourne and Down"	"176,369"	"2,565"	"1,335"	"1,230"	"4,305"	"4,347"	-42	"1,178"	780	398	-139	"177,816"
